BA,Model,Year,Projection_Year,RMS_ABS,RMS_NORM,MAPE,R2,Max_Error_MWh,Max_Error_%
FPL,M4,2023,3,1903.906,0.116,0.117,0.764,15187.9,5234.0
FPL,M5,2022,1,1380.729,0.088,0.069,0.874,16589.2,52.2
FPL,M5,2023,2,1597.511,0.097,0.092,0.838,15119.9,5302.4
FPL,M6,2023,1,1786.355,0.109,0.105,0.791,15920.3,5618.9
ISNE,M1,2018,1,851.015,0.06,0.044,0.894,4354.8,32.8
ISNE,M1,2019,2,972.904,0.072,0.053,0.841,4199.9,38.5
ISNE,M1,2020,3,1272.938,0.097,0.071,0.748,4901.8,43.5
ISNE,M1,2021,4,1174.311,0.088,0.063,0.789,4759.1,36.8
ISNE,M1,2022,5,1267.557,0.095,0.067,0.751,4916.8,43.6
ISNE,M1,2023,6,1646.66,0.129,0.086,0.553,6254.4,65.0
ISNE,M2,2019,1,855.883,0.063,0.048,0.864,4218.7,36.1
ISNE,M2,2020,2,1115.749,0.085,0.063,0.785,4578.7,40.4
ISNE,M2,2021,3,1006.338,0.075,0.055,0.835,4075.5,31.2
ISNE,M2,2022,4,1108.804,0.083,0.06,0.786,5116.1,45.4
ISNE,M2,2023,5,1442.172,0.113,0.077,0.627,5754.9,57.5
ISNE,M3,2020,1,1014.517,0.077,0.058,0.812,4265.3,36.0
ISNE,M3,2021,2,901.017,0.067,0.05,0.861,3969.7,35.1
ISNE,M3,2022,3,998.584,0.075,0.055,0.817,5316.4,47.1
ISNE,M3,2023,4,1279.013,0.1,0.07,0.696,5780.1,55.3
ISNE,M4,2021,1,752.206,0.056,0.043,0.907,3791.6,24.7
ISNE,M4,2022,2,827.382,0.062,0.048,0.888,4078.2,33.6
ISNE,M4,2023,3,1004.647,0.079,0.056,0.819,4912.9,46.9
ISNE,M5,2022,1,797.4,0.06,0.046,0.89,3999.1,32.9
ISNE,M5,2023,2,886.525,0.069,0.051,0.853,4296.7,40.1
ISNE,M6,2023,1,897.564,0.07,0.051,0.854,4387.0,37.5
PJM,M1,2018,1,4979.72,0.053,0.041,0.895,38655.2,31.8
PJM,M1,2019,2,4849.619,0.053,0.04,0.904,52170.8,33.6
PJM,M1,2020,3,6079.717,0.069,0.049,0.837,136674.2,63.4
PJM,M1,2021,4,4643.051,0.051,0.038,0.916,22173.9,24.8
PJM,M1,2022,5,4789.726,0.052,0.041,0.907,20386.0,20.8
PJM,M1,2023,6,4722.77,0.053,0.042,0.889,22449.9,21.8
PJM,M2,2019,1,4923.865,0.054,0.04,0.899,52794.8,34.0
PJM,M2,2020,2,6321.755,0.072,0.052,0.823,135480.4,62.8
PJM,M2,2021,3,4693.578,0.052,0.038,0.913,22810.0,29.9
PJM,M2,2022,4,4480.196,0.048,0.037,0.919,18442.2,22.0
PJM,M2,2023,5,4461.876,0.05,0.037,0.901,21256.8,23.2
PJM,M3,2020,1,6099.053,0.07,0.051,0.819,137472.5,63.7
PJM,M3,2021,2,4609.801,0.051,0.038,0.909,22363.1,29.3
PJM,M3,2022,3,4679.33,0.051,0.039,0.904,19826.3,21.1
PJM,M3,2023,4,4324.008,0.048,0.037,0.898,23030.3,20.8
PJM,M4,2021,1,4433.825,0.049,0.039,0.92,21399.8,23.2
PJM,M4,2022,2,5518.048,0.06,0.05,0.87,23460.1,20.6
PJM,M4,2023,3,5170.505,0.058,0.05,0.862,22745.2,20.5
PJM,M5,2022,1,4350.78,0.047,0.037,0.918,17746.9,20.3
PJM,M5,2023,2,4075.69,0.045,0.035,0.914,20362.3,21.5
PJM,M6,2023,1,3889.511,0.043,0.033,0.91,23195.8,22.6
WACM,M1,2018,1,224.319,0.075,0.058,0.429,3073.4,2259.9
WACM,M1,2019,2,481.233,0.186,0.142,-1.671,3226.4,1015.2
WACM,M1,2020,3,657.999,0.287,0.217,-3.607,2799.3,1599.6
WACM,M1,2021,4,645.036,0.273,0.195,-3.318,2992.5,5985.0
WACM,M1,2022,5,604.655,0.202,0.179,-2.464,3224.8,660.0
WACM,M1,2023,6,819.515,0.222,0.27,-6.86,2612.2,939.6
WACM,M2,2019,1,523.195,0.203,0.148,-1.419,3147.9,1073.2
WACM,M2,2020,2,742.693,0.324,0.239,-3.623,3084.6,1762.6
WACM,M2,2021,3,725.423,0.307,0.217,-3.266,3007.4,6014.8
WACM,M2,2022,4,638.012,0.213,0.19,-2.113,3359.9,686.5
WACM,M2,2023,5,739.038,0.2,0.236,-3.945,2869.0,1032.0
WACM,M3,2020,1,502.652,0.22,0.165,-0.933,2848.0,1627.4
WACM,M3,2021,2,531.092,0.225,0.15,-1.11,2721.7,5207.8
WACM,M3,2022,3,776.495,0.259,0.236,-3.398,2891.7,614.5
WACM,M3,2023,4,1007.23,0.273,0.36,-6.752,2766.4,995.1
WACM,M4,2021,1,350.6,0.149,0.111,-0.254,3089.0,4680.8
WACM,M4,2022,2,893.077,0.298,0.279,-6.708,3055.2,550.2
WACM,M4,2023,3,1294.969,0.351,0.526,-15.225,2404.4,864.9
WACM,M5,2022,1,923.138,0.308,0.307,-9.695,2954.1,514.6
WACM,M5,2023,2,1445.99,0.392,0.631,-28.367,2418.3,763.8
WACM,M6,2023,1,1107.737,0.3,0.413,-6.199,2461.0,739.6
